id,date,business_line,product_line,region,subregion,mortgage_type,valuation,dtv,balance,monthly_repayment,months_in_arrears,pd_12m,in_default
ID1007700001,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,356843.3329,0.438406004,156442,686,3,1,true
ID1007700002,2022-12-01,Retail,Mortgage,Sweden,Blekinge,fixed rate,367267.9899,0.417170346,153213,2128,3,1,true
ID1007700003,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,331585.7933,0.493288564,163567,852,2,0.000405104,false
ID1007700004,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,375515.2477,0.444407729,166882,3477,0,0.000290889,false
ID1007700005,2022-12-01,Retail,Mortgage,Sweden,Bohuslan,fixed rate,383557.9151,0.287692421,110347,400,3,1,true
ID1007700006,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,fixed rate,393554.3016,0.312266185,122894,569,0,0.000352647,false
ID1007700007,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,390634.7038,0.607513646,237316,2825,0,0.000348822,false
ID1007700008,2022-12-01,Retail,Mortgage,Sweden,Gotland,fixed rate,398998.7045,0.459232644,183233,3817,0,0.000332377,false
ID1007700009,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,399444.2424,0.42650401,170365,887,0,0.000336578,false
ID1007700010,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,capped rate,374941.9467,0.480683743,180228,1155,2,0.00031009,false
ID1007700011,2022-12-01,Retail,Mortgage,Sweden,Halsingland,floating rate,338364.115,0.608869062,206019,780,0,0.000312804,false
ID1007700012,2022-12-01,Retail,Mortgage,Sweden,Halland,floating rate,340397.891,0.52333182,178141,530,0,0.000278289,false
ID1007700013,2022-12-01,Retail,Mortgage,Sweden,Jamtland,floating rate,363652.3118,0.257242393,93547,520,0,0.000352881,false
ID1007700014,2022-12-01,Retail,Mortgage,Sweden,Gastrikland,floating rate,413993.0578,0.404627576,167513,13959,0,0.000355372,false
ID1007700015,2022-12-01,Retail,Mortgage,Sweden,Angermanland,fixed rate,309822.9696,0.43564516,134973,1023,1,0.000307815,false
ID1007700016,2022-12-01,Retail,Mortgage,Sweden,Lappland,capped rate,350477.9549,0.353470363,123884,469,0,0.000205189,false
ID1007700017,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,333854.6898,0.264036938,88150,306,2,0.000311749,false
ID1007700018,2022-12-01,Retail,Mortgage,Sweden,Gotland,floating rate,408007.1094,0.460454561,187869,15656,0,0.000277987,false
ID1007700019,2022-12-01,Retail,Mortgage,Sweden,Harjedalen,floating rate,348629.8288,0.293820046,102434,1067,0,0.00029829,false
ID1007700020,2022-12-01,Retail,Mortgage,Sweden,Dalsland,floating rate,386211.3903,0.404677382,156291,1628,1,0.000328181,false
ID1007700021,2022-12-01,Retail,Mortgage,Sweden,Ostergotland,capped rate,377260.6406,0.439907565,165960,728,1,0.000260806,false
ID1007700022,2022-12-01,Retail,Mortgage,Sweden,Norrbotten,floating rate,413053.4756,0.50505567,208615,724,1,0.000269797,false
ID1007700023,2022-12-01,Retail,Mortgage,Sweden,Dalarna,fixed rate,432352.1296,0.545327332,235773,2456,0,0.000316995,false
ID1007700024,2022-12-01,Retail,Mortgage,Sweden,Lappland,floating rate,288269.7605,0.467858595,134869,562,1,0.000292154,false
ID1007700025,2022-12-01,Retail,Mortgage,Sweden,Oland,capped rate,390740.2039,0.533652794,208520,621,0,0.000320358,false
