id,date,business_line,product_line,region,subregion,mortgage_type,valuation,dtv,balance,monthly_repayment,months_in_arrears,pd_12m
ID1007700001,01/12/2022,Retail,Mortgage,Sweden,Oland,capped rate,356843.3329,0.438406004,156442,686,3,1
ID1007700002,01/12/2022,Retail,Mortgage,Sweden,Blekinge,fixed rate,367267.9899,0.417170346,153213,2128,3,1
ID1007700003,01/12/2022,Retail,Mortgage,Sweden,Gastrikland,floating rate,331585.7933,0.493288564,163567,852,2,0.000405104
ID1007700004,01/12/2022,Retail,Mortgage,Sweden,Halsingland,floating rate,375515.2477,0.444407729,166882,3477,0,0.000290889
ID1007700005,01/12/2022,Retail,Mortgage,Sweden,Bohuslan,fixed rate,383557.9151,0.287692421,110347,400,3,1
ID1007700006,01/12/2022,Retail,Mortgage,Sweden,Gastrikland,fixed rate,393554.3016,0.312266185,122894,569,0,0.000352647
ID1007700007,01/12/2022,Retail,Mortgage,Sweden,Lappland,floating rate,390634.7038,0.607513646,237316,2825,0,0.000348822
ID1007700008,01/12/2022,Retail,Mortgage,Sweden,Gotland,fixed rate,398998.7045,0.459232644,183233,3817,0,0.000332377
ID1007700009,01/12/2022,Retail,Mortgage,Sweden,Halland,floating rate,399444.2424,0.42650401,170365,887,0,0.000336578
ID1007700010,01/12/2022,Retail,Mortgage,Sweden,Norrbotten,capped rate,374941.9467,0.480683743,180228,1155,2,0.00031009
ID1007700011,01/12/2022,Retail,Mortgage,Sweden,Halsingland,floating rate,338364.115,0.608869062,206019,780,0,0.000312804
ID1007700012,01/12/2022,Retail,Mortgage,Sweden,Halland,floating rate,340397.891,0.52333182,178141,530,0,0.000278289
ID1007700013,01/12/2022,Retail,Mortgage,Sweden,Jamtland,floating rate,363652.3118,0.257242393,93547,520,0,0.000352881
ID1007700014,01/12/2022,Retail,Mortgage,Sweden,Gastrikland,floating rate,413993.0578,0.404627576,167513,13959,0,0.000355372
ID1007700015,01/12/2022,Retail,Mortgage,Sweden,Angermanland,fixed rate,309822.9696,0.43564516,134973,1023,1,0.000307815
ID1007700016,01/12/2022,Retail,Mortgage,Sweden,Lappland,capped rate,350477.9549,0.353470363,123884,469,0,0.000205189
ID1007700017,01/12/2022,Retail,Mortgage,Sweden,Harjedalen,floating rate,333854.6898,0.264036938,88150,306,2,0.000311749
ID1007700018,01/12/2022,Retail,Mortgage,Sweden,Gotland,floating rate,408007.1094,0.460454561,187869,15656,0,0.000277987
ID1007700019,01/12/2022,Retail,Mortgage,Sweden,Harjedalen,floating rate,348629.8288,0.293820046,102434,1067,0,0.00029829
ID1007700020,01/12/2022,Retail,Mortgage,Sweden,Dalsland,floating rate,386211.3903,0.404677382,156291,1628,1,0.000328181
ID1007700021,01/12/2022,Retail,Mortgage,Sweden,Ostergotland,capped rate,377260.6406,0.439907565,165960,728,1,0.000260806
ID1007700022,01/12/2022,Retail,Mortgage,Sweden,Norrbotten,floating rate,413053.4756,0.50505567,208615,724,1,0.000269797
ID1007700023,01/12/2022,Retail,Mortgage,Sweden,Dalarna,fixed rate,432352.1296,0.545327332,235773,2456,0,0.000316995
ID1007700024,01/12/2022,Retail,Mortgage,Sweden,Lappland,floating rate,288269.7605,0.467858595,134869,562,1,0.000292154
ID1007700025,01/12/2022,Retail,Mortgage,Sweden,Oland,capped rate,390740.2039,0.533652794,208520,621,0,0.000320358
ID1007700026,01/12/2022,Retail,Mortgage,Sweden,Gotland,floating rate,374564.2308,0.464117574,173842,2070,1,0.000309062
