field_name, field_type, label, categorical, business_key, format_code
id, STRING, Customer account ID, false, true
date, DATE, Date, false, true, "QUARTER"
business_line, STRING, Business line, false, true
product_line, STRING, Product line, false, true
region, STRING, Region, false, true
subregion, STRING, Sub-region, false, true
mortgage_type, STRING, Mortgage type, false, true
balance, FLOAT, Drawn balance, false, false,",|.|2||EUR"
time_to_default, INTEGER, Time to default, false, false,"||0||"
ead, FLOAT, EAD, false, false,",|.|2||EUR"
forced_sale_discount, FLOAT, EAD, false, false,",|.|2||%"
time_to_sale, INTEGER, Time to sale, false, false,"|.|0||"
lgd_12m, FLOAT, LGD (12m), false, false,"|.|1||%"
lgd_lifetime, FLOAT, LGD (lifetime), false, false,"|.|1||%"
